formal,informal,enfp,joongding,gentle
저는 굉장히 만족스러워요. 문화와 역사가 풍부한 나라라 관광하기 너무 좋은 것 같아요.,나는 굉장히 만족스러워. 문화와 역사가 풍부한 나라라 관광하기 너무 좋은 것 같아.,난 완전 만족ㅜㅜ!!! 문화와 역사가 풍부해서 그런가 관광하기 너~무 좋은 거 있지?!,문화랑 역사 좋아하면 그럭저럭 ㄱㅊ,"저는 굉장히 만족스러워서,, 문화와 역사가 풍부한 나라라 관광하기에는 좋은 거 같습니다."
오늘은 별 다른 계획 없으신가요?,오늘은 별 다른 계획 없어?,오늘 머행~?,오늘은 별거 안하냐,"오늘,, 뭐,,다른 계획,, 있으신가요?"
저는 없네요. 취미가 어떻게 되세요?,나는 없어. 취미가 뭐야?,난 암것두 안행!! 넌? 취미가 모야모야~^0^?,ㅇ 안하는데 취미가 뭐냐,저는 별 다른 계획은 없습니다. 취미가 있으신지요?
저는 운동하는 것을 좋아해요.,난 운동하는 것을 좋아해.,난 요즘 운동하는 게 그~렇게 좋더랑 ㅎㅎㅎ,운동하는거 좋아하는데 왜,"저는,, 운동하는 걸 좋아합니다."
"건강한 취미, 좋네요. 저도 운동하는 것 좋아해요. 또 뭐 없나요?",건강한 취미네. 나도 운동하는 것 좋아해. 또 뭐 없어?,헉 대박 완전 건강미 뿜뿜 나도 운동 완전완전 좋아해ㅜㅜ 또 뭐 하는 거 좋아해?!,건강한척하네 나도 운동 좋아하긴 함. 딴건 앖냐,건강한 취미네요. 저도 운동하는 것 좋아합니다. 또 뭐 좋아하시는 게 있으십니까?
독서도 좋아해요.,독서도 좋아해.,난 책 읽는 것두 좋아 ㅎㅎ!!,책도 좋아하는데,독서도 즐깁니다.
애완동물은 없으세요? 저는 강아지 키워요.,애완동물은 없어? 난 강아지를 키워.,헐헐 혹시 키우는 동물은 없어~? 난 댕댕이 키워,애완동물은 안키우냐? 난 강아지키우는데,혹시 반려동물은 없으십니까? 저는 강아지 키우고 있습니다.
이름이 어떻게 되요? 나이는요?,이름이 뭐야? 나이는?,엥? 대~박 이름은 머야머야?? 나이는?!,이름뭔데? 몇살?,"강아지,, 이름이 어떻게 되나요? 나이도 궁금하군요."
미코이고 4개월 됐어요. 저는 또 음악 감상도 즐겨요.,미코이고 4개월 됐어. 난 음악 감상도 즐겨.,애기 이름은 미코! 4개월 됐다 완전 애기애기~ 아 맞다 나 음악 듣는 것도 완~전 좋아행!!,이름 미코고 4살됨. 난 노래도 좋아한다,"미코라고 하는 아이고 4개월 되었네요 ㅎㅎ,, 저는 음악 감상도 즐깁니다."
저는 야외에서 노는 것을 좋아해요.,난 야외에서 노는 것을 좋아해.,난 야외에서 노는 거 좋아행 ㅎㅎ,밖에서 노는게 낫지,전 야외에서 노는 것도 좋더라고요.
오늘 밖에 날씨 좋던데요?,오늘 밖에 날씨 좋던데?,오늘 밖에 완전 대박이던데?!,날씨 좋더라 오늘,오늘 날씨가 좋더라고요.
맞아요. 그런데 전 겨울을 더 선호해요.,맞아. 그런데 난 겨울을 더 선호해.,마자! 근데 난 겨울이 더 좋은 거 잇지ㅜ,ㅇ 근데 겨울이 나은듯,"맞습니다. 하지만 전 겨울을 더 선호하는 편이라,,"
오늘 날씨 좋아서 저는 애들 데리고 공원 나갔다 왔어요.,오늘 날씨 좋아서 난 애들 데리고 공원에 나갔다 왔어.,그랭? 난 오늘 날씨가 너~무 좋아서 애들 데리구 공원 다녀왔어 ㅎㅎ!!!,날씨 좋아서 애들이랑 산책갔다옴,"오늘 날씨가 좋아서,, 전 아이들 데리고 공원 다녀왔습니다."
애 몇 명 있어요?,애 몇 명 있어?,애기?! 몇 명이나 잇어??,애 몇 명인데,애가 몇 명입니까?
딸 하나 있어요.,딸 하나 있어.,딸래미 한명 있어 ㅎㅎ,딸 하나 있는데 왜,딸 아이 한명 있습니다.
안녕하세요. 저는 훌륭한 제빵사에요. 모두가 제 빵 좋아해요.,안녕. 나는 훌륭한 제빵사야. 모두가 내 빵을 좋아해.,안뇽안뇽~ 오늘은 내가 훌륭한 제빵사! 모두가 내 빵을 좋아하지롱~!,ㅎㅇ 나 제빵사임. 다 내 빵 좋아함,안녕하십니까. 저는 이름난 제빵사입니다. 모두들 제 빵을 좋아해주시더군요. ㅎㅎ
굉장히 맛있을 것 같네요. 그런데 전 빵을 좋아하지 않아요.,굉장히 맛있을 것 같아. 그런데 나는 빵을 안 좋아해.,완전 존맛탱 포스 대박대박 근데 난 빵 별로 안 좋아해ㅜㅜ,맛있겠네 ㅋ 근데 나 빵 안좋아하는데,"굉장히 맛있을 거 같군요. 그런데 유감스럽게도 제가 빵을 좋아하지 않아서,,"
"왜죠? 빵을 싫어하시다니, 충격적이네요.","왜? 빵을 싫어하다니, 충격이야.","헐,, 완전 대박 빵을 싫어해?! 왜?! 나 지금 완전 충격충격,,",왜 안좋아하는데 ㅡㅡ,"그렇습니까? 빵을 싫어하시다니, 조금 충격이네요,,"
그냥 저는 빵보다 밥이 좋아요.,그냥 난 빵보다 밥이 좋아.,난 그냥 빵보다 밥이 더 좋더라그 ㅎㅎ,빵보다 밥이 낫지,"왜인지 저는 빵보다는 밥이 더 좋더군요,, ㅎㅎ"
아쉽네요… 제 빵 정말로 맛있는데.,아쉽네… 내 빵 정말로 맛있는데.,"아쉽다아~ 내 빵 진짜진짜 존맛탱인데ㅜ,,,",내 빵 맛있는데 ㅡㅡ,"아쉽군요,, 제 빵 정말 맜있는데,,"
나중에 한번 보내주세요. 도전해볼게요.,나중에 한번 보내줘. 도전해볼게.,나중에 함 보내줭 ㅎㅎ 도전~!!!,보내보던가 먹어보게,나중에 한번 보내주세요. 한번 도전해보겠습니다 ㅎㅎ
주소가 어떻게 되세요? 바로 보내드릴게요.,주소가 어떻게 돼? 바로 보낼게.,어디 살앙? 내가 바아로 보내주께!!,주소 뭔데? 보내봄,혹시 주소가 어떻게 되십니까? 바로 보내드리겠습니다.
그럼 나중에 쪽지로 보내드릴게요. 가장 좋아하는 명절이 어떻게 되세요?,그럼 나중에 쪽지로 보낼게. 가장 좋아하는 명절이 어떻게 돼?,그럼 나중에 쪽지로 보내줄게 ㅎㅎ!! 가장 좋아하는 명절이 머야~??,쪽지로 보내던가함 명절 뭐좋아하냐,그럼 나중에 쪽지로 보내드리겠습니다. 혹시 실례가 안된다면 가장 좋아하는 명절이 어떻게 되시나요~?
저는 추석을 가장 좋아해요.,나는 추석을 가장 좋아해.,난 추석!!,추석이지,저는 추석을 가장 좋아합니다.
저는 크리스마스요.,나는 크리스마스.,난 크리스마스!,크리스마스지,전 크리스마스를 가장 좋아합니다.
크리스마스도 좋은데 제가 제빵사라 케이크 굽느라 너무 바빠요.,크리스마스도 좋은데 내가 제빵사라 케이크 굽느라 너무 바빠.,"크리스마스도 조흔데ㅜ,, 내가 제빵사라 케이크를 너~무 많이 구워야해서 너~무 바빠ㅜㅜㅜ",크리스마스 ㄱㅊ인데 제빵사한테는 바쁨 ㅡㅡ,"크리스마스도 좋지요. 제가 제빵사라 케이크 굽느라 바빠지지만 말이죠 허허,,"
그만큼 많이 버시겠네요?,그만큼 많이 벌겠네?,그만큼 많이 벌겟당!!!,돈 많이벌고 좋겠구만뭐,그만큼 많이 벌시면 좋지요 ㅎㅎ
맞아요. 빵집한테는 가장 중요한 시기 중 하나죠.,맞아. 빵집한테는 가장 중요한 시기 중 하나야.,"그칭,, 빵집한테는 중요한 시기 중 하나얌 ㅎㅎ,",ㅇ 근데 중요한 시기는 맞음,"그렇지요,, 빵집에게는 가장 중요한 시기 중 하나입니다."
그렇군요.,그렇군.,그렇구낭,ㅇㅎ,그렇군요.
안녕하세요. 뭐 먹고 있어요?,안녕. 뭐 먹고 있어?,하이하이~ 머 먹구 있어~?!,ㅎㅇ 뭐하는데,"안녕하십니까, 뭘 드시고 계셨나요?"
BBQ 샌드위치를 먹고 있습니다. 제가 제일 좋아하는 메뉴에요.,BBQ 샌드위치를 먹고 있어. 내가 제일 좋아하는 메뉴야.,BBQ 샌드위치 먹구 있었어~ 완전 내 최애 메뉴!! 진짜 대박이야!!!,BBQ샌드위치먹는데 왜,BBQ 샌드위치를 맛보고 있었습니다. 제가 제일 좋아하는 메뉴입니다. ㅎㅎ
맛있어 보이네요. 저도 BBQ 샌드위치를 좋아해요.,맛있어 보이네. 나도 BBQ 샌드위치 좋아해.,대박 맛있어 보인당!! 나도 BBQ샌드위치 좋아해!!,ㄱㅊ겠네 나도 좋아함,맛있어 보이는군요. 저도 BBQ 샌드위치 좋아합니다.
자주 드시나요?,자주 먹어?,헐 진짜~? 자주 먹어?!,자주 먹냐 그래서?,"자주,, 드시는 편이신가요?"
"네, 아이들도 좋아해서 자주 먹습니다.","응, 애들도 좋아해서 자주 먹어.",웅웅! 애들도 좋아해서 자주 먹어!!,ㅇ 애들도 자주 먹는데,"네, 아이들도 좋아해서 자주 먹게 되었네요. ㅎㅎ"
자녀가 몇 명 있으신가요?,애들이 몇 명 있어?,대박 애가 몇 명 있어?!,애들 몇 명?,혹시 실례가 안된다면 자녀가 몇 명이십니까?
"네 명 있는데, 애들이 많아서 그런지 바람 잘 날이 없어요.","네 명 있는데, 애들이 많아서 그런지 바람 잘 날이 없어.",4명 있는데 애들이 많아서 그른가? 엄청 정신 없는 거 있지ㅜ,네명이라 바쁘다 항상,"네명이 있는데, 아이들이 많아서 그런지 바람 잘 날 일이 없더군요,,"
그 나이 때는 다 노는거지요.,그 나이 때는 다 노는거지.,그 나이 땐 다 그렇게 놀지~,그때 다 노는거지뭐,그 나이 때 아이들이 다 그렇지요~
"아니요, 노는건 좋은데 애들이 티비를 너무 자주 봐서 고민에요.","아니, 노는건 좋은데 애들이 티비를 너무 자주 봐서 고민이야.",아니이 노는건 좋은데 애들이 티비를 넘 자주봐! 고민이야ㅜ,그건 괜찮은데 애들이 티비 너무 많이 봄 ㅡㅡ,"노는 건 정말 좋은데, 아이들이 텔레비전를 너무 자주 봐서 이게 고민입니다,,"
아이들이 무슨 티비 쇼를 자주 보나요?,애들이 무슨 티비 쇼를 자주 봐?,애들이 무슨 프로그램을 그렇게 자주 본데~???,티비쇼 뭐보는데,아이들은 주로 어떤 프로그램을 자주 시청하시나요?
"톰과 제리라는 쇼를 자주 보는데, 너무 폭력적인 것 같아서 걱정이에요.","톰과 제리라는 쇼를 자주 보는데, 너무 폭력적인 것 같아서 걱정이야.",톰과 제리! 넘 폭력적인 거 같아서 걱정이야ㅜㅡㅠ,톰과제리 자주보는데 엄청 폭력적이라 걱정임,톰과 제리라는 프로그램을 혹시 아십니까? 그 프로그램이 조금 폭력성이 있어보여 걱정입니다.
"저도 본 거 같은데, 항상 제리가 톰을 약올리는 쇼잖아요. 제 생각에는 그렇게 폭력적인 것 같지는 않습니다.","나도 본 거 같은데, 항상 제리가 톰을 약올리는 쇼잖아. 내 생각에는 그렇게 폭력적인 것 같지는 않아.","나도 본 거 같은뎅,,, 항상 제리가 톰을 약올리는 거 아냐?! 내 생각엔,, 그렇게 폭력적인 거 같진 않은뎅,, ㅇㅅㅇ?!",나도 봄ㅋ 제리가 톰 약올리는게 뭐가 폭력적인데,"저도 본 적이 있는 거 같습니다만, 항상 제리가 톰을 약올리는 쇼 맞지요? 제 생각에는 그렇게 폭력적인 것 같진 않습니다,,"
그런가요? 제가 너무 걱정이 많은 것일수도 있겠네요.,그런가? 내가 너무 걱정이 많은 것일수도 있겠다.,"그랭?! 내가 걱정이 많은 걸까ㅜ,,",내가 너무 걱정이 많을수도 있겠지,"그렇습니까? 제가 너무 걱정이 많은 것일지도,,"
하지만 아이들이 티비를 볼 때 너무 가까이서 보면 눈이 나빠지지 않을까요?,하지만 아이들이 티비를 볼 때 너무 가까이서 보면 눈이 나빠지지 않을까?,애들이 티비 볼 때 넘 가까이서 보면 눈은 나빠지지 않으까?!,애들이 티비 너무 가까이서보면 눈나빠지는것도 모르냐,하지만 아이들이 텔레비전을 볼 때에 너무 가까이서 보면 눈이 나빠질 우려는 있겠네요.
애들한테 티비를 볼 때는 조금 멀리서 보라고 당부해둬야겠어요.,애들한테 티비를 볼 때는 조금 멀리서 보라고 당부해둬야겠네.,애들이 티비 볼 때에 조금 멀리서 보라고 당부해야겟다!!,애들한테 좀 멀리서 보라그럼 돼지,아이들에게 텔레비전을 볼 때에는 조금 멀리 떨어져 보라고 당부를 해둬야겠군요.
그렇게 하는 것이 아이들한테도 좋을 것입니다.,그렇게 하는 것이 아이들한테도 좋을거야.,그러는 게 애들한테두 좋을 거 같앙!!!,그게 애들한테 더 나음ㅋ,그렇게 하면 아이들에게도 좋을 것 같습니다^^
안녕하세요. 지쳐보이세요.,안녕. 지쳐보인다.,안뇽~^0^ 뭐야뭐야 무슨일 있어~? 웰케 지쳐보여!,ㅎㅇ 뭔데 지쳐보이냐,안녕하세요. 조금 지쳐보이시네요.
조금 지쳤습니다. 2마일나 걸었어요.,조금 지쳤어. 2마일나 걸었어든.,좀 지쳤어ㅠㅡㅜ 2마일이나 걸은거 있지~?!,2마일 걸었는데 안지치냐 그럼,조금 지쳤네요. 2마일이나 걸었지 뭡니까 허허
하지만 걷기운동이 몸에 좋데요. 평소에 어디서 걸으세요?,하지만 걷기운동이 몸에 좋데. 평소에 어디서 걸어?,"헐 대박,, 그래두,, 걷기운동이 몸에 좋대!! 평소에 자주 걷는 곳이 어디얌?-?",걷는거 좋음 근데. 어디서 걷냐?,걷기운동이 몸에 좋지요. 평소에 어디서 걸으십니까?
이 공원에서 자주 걷습니다.,이 공원에서 자주 걷지.,나? 나아는~ 이 공원에서도 자주 걸엉!! ㅎㅎ,공원에서 걷지 어디서 걸어,이 공원에서 자주 걷습니다.
"저도 공원에서 자주 걷는데, 자주 만나겠네요.","나도 공원에서 자주 걷는데, 자주 만나겠네.",헉 나두 여기서 자주 걷는뎅!!! 우리 되~게 자주 만나겠다 그치~?,나도 공원에서 걷는데 가끔 만나겠네,저도 공원에서 자주 걷습니다. 자주 만나겠네요.
저는 매일 이 시간에 개들을 데리고 산책하러 나옵니다.,난 매일 이 시간에 개들을 데리고 산책하러 나와.,웅웅 완전 대애박 나 맨날맨날 이 시간에 우리 댕댕이들 데리구 산책하러 나와~!,난 맨날 개들데리고 나온다,저는 매일 이 시간에 강아지들을 데리고 산책 나옵니다.
매일 산책을 시키려면 정말 지칠 것 같아요.,매일 산책을 시키려면 정말 지칠 것 같아.,"매일 산책시키려면,,, 진짜진짜 지치지 않아~?!",산책 맨날하면 안지치냐,"매일 산책을 시키려면 너무 지칠 거 같습니다,,"
"조금 지치지만, 그래도 개들이 좋아해서 매일 하려고 합니다.","조금 지치지만, 그래도 개들이 좋아해서 매일 하려고 해.","쪼꼼,, 지치긴하지만 울 댕댕이들이 넘 좋아해서 매일하려구 ㅎㅎ",피곤한데 개들이 좋아해서 맨날 하는데,조금 지칩니다. 그래도 강아지들이 좋아하니 매일 하려고 합니다. 
"그러네요, 개들도 활기찬걸 보니 좋아하는거같아요. 저는 이만 마저 운동하러 가겠습니다","그러네, 개들도 활기찬걸 보니 좋아하는거같아. 넌 이만 마저 운동하러 간다.",헉 진짜 그러겟당!! 댕댕이들두 완전 똥꼬발랄한 게 좋나바 ㅎㅎ 나 이제 마저 운동하러 갈게~~,개들도 좋긴 하겠네 난 운동간다 ㅂㅇ,그렇군요. 강아지들도 활기찬걸 보니 좋아하는 거 같네요. 그럼 전 이만 마저 운동하러 가보겠습니다.
뛰시는건가요?,뛰는거야?,머야 달리기 하는거야~??,뛰냐?,뛰러 가시나요?
"네, 한 달 뒤에 하는 마라톤을 준비하고 있어요.","응, 한 달 뒤에 하는 마라톤을 준비하고 있어.",웅웅! 한달 뒤에 하는 마라톤~ 그냥 한번 준비해보구 있엉 ㅎㅎ,ㅇㅇ 다음달에 마라톤 준비할건데,"네~, 한 달 뒤 마라톤을 준비하고 있습니다."
꼭 좋은 성적을 받으시길 바랄게요.,꼭 좋은 성적을 받으시길 바랄게.,대박 ㅎㅎ 1등하길 내가 두손 꼬옥 잡고 기도할겡!,ㅋ 성적 잘 받던가 해라,좋은 성적 받으시길 바랍니다.
"아니요, 자선 마라톤이기 때문에 완주에 의의를 두고 있습니다.","아니, 자선 마라톤이여서 완주에 의의를 두고 있어",아냥! 자선 마라톤이라 끝까지 뛰는 게 의미 있는거라구!,자선마라톤이라 완주만 할건데,허허 괜찮습니다. 자선 마라톤이라 완주에 의의를 두고 있습니다.
"전 마라톤을 한번도 뛰어본 적이 없는데, 참가할 수 있나요?","그럼 나도 마라톤을 한번도 뛰어본 적이 없는데, 참가할 수 있어?","나 마라톤 한번도 뛰어본 적 없는뎅,, 참가할 수 있나?!",나 마라톤 안해봤는데 나도 참가 되냐?,전 마라톤을 한번도 뛰어본 적이 없습니다. 그래도 참가할 수 있을까요?
"운동을 아예 안하신 분이라면 힘들겠지만, 완주 정도는 약간의 훈련으로도 가능할 것 같습니다.","운동을 아예 안 한 사람이라면 힘들겠지만, 완주 정도는 약간의 훈련으로도 가능할 것 같아.","음,, 운동을 아예 안한 슬라임 같으면 조끔 힘들지만! 완주는 조꼼 훈련하며는 완전 가능가능~!!",운동 안했으면 못하는데 훈련좀 하면 완주 가능함,운동을 아예 해보지 않으신 분이라면 힘듭니다. 완주 정도는 약간의 훈련으로도 가능하겠네요.
그러면 저도 준비해야겠네요.,그러면 나도 준비해야겠다.,그럼 나두 준비해야봐야겠당 ㅎㅎ!!,준비해야겠네 그럼,그렇다면 저도 준비해봐야겠네요.
"안녕하세요, 잘 지내고 있으셨어요?","안녕, 잘 지내고 있었어?",안뇽안뇽~ 대박 오랜만!! 잘 지내고 있었어??!?,ㅎㅇ 잘사냐,안녕하십니까? 잘 지내고 계셨는지요~?
매우 잘 지내고 있었습니다. 그쪽은 오늘 어떠신가요?,매우 잘 지내고 있었지. 넌 오늘 어때?,헐 난 완전 대박 잘 지내구 있었징!! 너눈?! 오늘 어땠엉~?,ㅇ 잘지내지 그럼 못지냄? 잘사냐,"매우 잘 지내고 있었습니다,, 그쪽은 오늘 어떠십니까?"
